Index,X,Y
332,2081625,368625
333,2081875,368625
334,2082125,368625
335,2082375,368625
336,2082625,368625
337,2082875,368625
338,2083125,368625
339,2083375,368625
340,2083625,368625
341,2083875,368625
342,2084125,368625
343,2084464.9,368625
344,2071125,368375
345,2070770.931,368479.0695
346,2070875,368375
347,2071375,368375
348,2071625,368375
349,2071875,368375
350,2072125,368375
351,2072375,368375
352,2072625,368375
353,2072875,368375
354,2073125,368375
355,2073375,368375
356,2073625,368375
357,2073875,368375
358,2074125,368375
359,2074375,368375
360,2074625,368375
361,2074875,368375
362,2075125,368375
363,2075375,368375
364,2075625,368375
365,2075875,368375
366,2076125,368375
367,2076375,368375
368,2076625,368375
369,2076875,368375
370,2077125,368375
371,2077375,368375
372,2077625,368375
373,2077875,368375
374,2078125,368375
375,2078375,368375
376,2078625,368375
377,2078875,368375
378,2079125,368375
379,2079375,368375
380,2079625,368375
381,2079875,368375
382,2080125,368375
383,2080375,368375
384,2080625,368375
385,2080875,368375
386,2081125,368375
387,2081375,368375
388,2081625,368375
389,2081875,368375
390,2082125,368375
391,2082375,368375
392,2082625,368375
393,2082875,368375
394,2083125,368375
395,2083375,368375
396,2083625,368375
397,2083875,368375
398,2084125,368375
399,2084397.871,368375
400,2070629.016,368125
401,2070875,368125
402,2071125,368125
403,2071375,368125
404,2071625,368125
405,2071875,368125
406,2072125,368125
407,2072375,368125
408,2072625,368125
409,2072875,368125
410,2073125,368125
411,2073375,368125
412,2073625,368125
413,2073875,368125
414,2074125,368125
415,2074375,368125
416,2074625,368125
417,2074875,368125
418,2075125,368125
419,2075375,368125
420,2075625,368125
421,2075875,368125
422,2076125,368125
423,2076375,368125
424,2076625,368125
425,2076875,368125
426,2077125,368125
427,2077375,368125
428,2077625,368125
429,2077875,368125
430,2078125,368125
431,2078375,368125
432,2078625,368125
433,2078875,368125
434,2079125,368125
435,2079375,368125
436,2079625,368125
437,2079875,368125
438,2080125,368125
439,2080375,368125
440,2080625,368125
441,2080875,368125
442,2081125,368125
443,2081375,368125
444,2081625,368125
445,2081875,368125
446,2082125,368125
447,2082375,368125
448,2082625,368125
449,2082875,368125
450,2083125,368125
451,2083375,368125
452,2083625,368125
453,2083875,368125
454,2084125,368125
455,2084341.96,368125
456,2070875,367875
457,2070648.246,367875
458,2071125,367875
459,2071375,367875
460,2071625,367875
461,2071875,367875
462,2072125,367875
463,2072375,367875
464,2072625,367875
465,2072875,367875
466,2073125,367875
467,2073375,367875
468,2073625,367875
469,2073875,367875
470,2074125,367875
471,2074375,367875
472,2074625,367875
473,2074875,367875
474,2075125,367875
475,2075375,367875
476,2075625,367875
477,2075875,367875
478,2076125,367875
479,2076375,367875
480,2076625,367875
481,2076875,367875
482,2077125,367875
483,2077375,367875
484,2077625,367875
485,2077875,367875
486,2078125,367875
487,2078375,367875
488,2078625,367875
489,2078875,367875
490,2079125,367875
491,2079375,367875
492,2079625,367875
493,2079875,367875
494,2080125,367875
495,2080375,367875
496,2080625,367875
497,2080875,367875
498,2081125,367875
499,2081375,367875
500,2081625,367875
501,2081875,367875
502,2082125,367875
503,2082375,367875
504,2082625,367875
505,2082875,367875
506,2083125,367875
507,2083375,367875
508,2083625,367875
509,2083875,367875
